Rel,Year,ID,Status,Group,Album,Comments
72,77,366,FOLK,David Bromberg,David Bromberg,
72,77,367,FOLK,David Bromberg,Demon in Disguise,
33,77,368,BLUES,Barry Goldberg,And Friend,
33,77,369,SOLD,Jefferson Airplane,Volunteers,
33,77,370,KEEP,Joni Mitchell,Song to a Seagull,
33,77,371,KEEP,Joni Mitchell,Clouds,
33,77,372,KEEP,Joni Mitchell,Ladies of the Canyon,
33,77,373,KEEP,Joni Mitchell,Blue,
69,77,374,NEXT,Santana,Santana,
74,77,375,JAZZ,Alice Coltrane,Illuminations,
33,77,376,SOLD,Van Morrison,Best Of,
33,77,377,JAZZ,Django Reinhart,Parisian Swing,
33,77,378,FOLK,Mike Auldridge,Blues and Blue Grass,
68,77,379,CC,Band,Music from Big Pink,
77,77,380,CD,Pink Floyd,Animals,
33,77,381,KEEP,Joni Mitchell,Hejira,
33,77,382,BLUES,John Mayall,Mayall Clapton Taylor,
71,77,383,CD,Yes,Fragile,
75,77,384,LITZ,Yes,Yesterdays,
76,77,385,LP,David Bromberg,How Late You Play Til,2
33,77,387,SOLD,Little Feat,Time Loves a Hero,
74,77,388,FOLK,Seldom Scene,Old Train,
33,77,389,FOLK,Sam Bush,Blake Taylor Bush Vassar,
69,77,390,LITZ,Bob Dylan,Nashville Skyline,
73,77,391,CD,Pink Floyd,Dark Side of the Moon,
33,77,392,SOLD,Van Morrison,Tupelo Honey,
33,77,393,SOLD,Little Feat,Last Record Album,
33,77,394,SOLD,Little Feat,Sailing Shoes,
33,77,395,SOLD,Little Feat,Feats Dont Fail Me Now,
72,77,396,LITZ,Bonnie Raitt,Give It Up,
33,77,397,SOLD,Jeff Beck,Blow By Blow,
33,77,398,SOLD,Dead,Grandin Street BootLeg,
78,77,399,SOLD,Garcia,Cats Down Under the Stars,
77,77,400,CC,Dead,Terrapin Station,
78,78,401,SOLD,Dead,Shakedown Street,
33,78,402,KEEP,Joni Mitchell,Hissing of Summer Lawns,
33,79,403,KEEP,Joni Mitchell,Don Juans Reckless Daughter,2
33,79,405,KEEP,Joni Mitchell,Miles of Aisles,2
75,79,407,FOLK,David Bromberg,Midnight on the Water,
33,79,408,FOLK,John Fahey,America,
79,79,409,SOLD,Zappa,Sleep Dirt,
33,79,410,JAZZ,Les Paul,Chester and Lester,
71,79,411,BLUES,Fleetwood Mac,Original Fleetwood Mac,
78,79,412,CD,Danny Gatton,Redneck Jazz,
75,79,413,JAZZ,Alice Coltrane,Eternity,
33,79,414,CD,Little Feat,Waiting For Columbus,2
72,79,416,CD,Yes,Close To The Edge,
33,79,417,JAZZ,Larry Coryell,The Essential,2
33,79,419,KEEP,Mick Taylor,Mick Taylor,
33,79,420,LP,Ruppert Chapelle,Ozone Music,
33,79,421,SOLD,Marshall Tucker,Greatest Hits,
71,79,422,BLUES,Shuggie Otis,Freedom Flight,
33,79,423,KEEP,Renaissance,Live at Carnegie Hall,2
33,79,425,FOLK,Merle Travis,Guitar,
33,79,426,FOLK,Merle Travis,With Joe Maphis,
33,79,427,LITZ,Steve Howe,Beginnings,
33,80,428,FOLK,Merle Travis,Best Of,
33,80,429,FOLK,Merle Travis,Guitar Player,
33,80,430,FOLK,Merle Travis,Merle Travis Story,2
33,80,432,FOLK,Muleskinner,Muleskinner,
33,80,433,FOLK,Richard Greene,Rambling,
33,80,434,FOLK,Bill Monroe,With Flatt and Scruggs,
33,80,435,FOLK,Various,Greatest Bluegrass Bands,2
33,80,437,FOLK,Various,Old Timey Bluegrass Concert,2
33,80,439,JAZZ,Various,Fifty Years Jazz Guitar,2
33,80,441,JAZZ,Various,Greatest Jazz Concert Ever,2
33,80,443,JAZZ,Happy The Man,Happy The Man,
74,80,444,STEVE,Bob Dylan,Planet Waves,
80,80,445,SOLD,Dead,Go To Heaven,
33,80,446,BLUES,Bill Broonzy,Do That Guitar Rag,
33,80,447,STEVE,Peter Green,In The Skies,
78,80,448,LITZ,Yes,Tormato,
33,80,449,LP,Joan Armatrading,Show Some Emotion,
33,80,450,FOLK,Good Old Boys,Pistol Packing Mama,
81,81,451,CD,Dead,Reckoning,2
33,81,453,KEEP,Robert Hunter,Jack of Roses,
81,81,454,CD,Dead,Dead Set,2
33,81,456,JAZZ,Mose Allison,Mose Allison,2
