:.,$!sort -t, -bk6,6 -k1,2n -bk7,7,,,
0,0,CD,1,ROCK1,Coldplay,Rush of Blood,,
0,0,CD,1,ROCK1,Coldplay,Viva La Viva,,
0,0,CD,1,ROCK1,Coldplay,X+Y,,
0,0,MC,1,JAZZ2,Count Basie,All About That Basie,,
0,0,M3,1,JAZZ2,Count Basie,Basie Swings The Blues,,
0,0,MC,1,JAZZ2,Count Basie,Count Plays Duke,,
0,0,MC,1,JAZZ2,Count Basie,One Oclock Jump,,
0,0,MC,1,FOLK2,Country Gentlemen,Country Songs Old and New,,
0,0,MC,1,FOLK2,Country Gentlemen,Folk Songs and Bluegrass,,
0,0,MC,1,FOLK2,Country Gentlemen,Sugar Hill Collection,,
630000,0,CD,1,FOLK2,Country Gentlemen,On the Road,,
0,0,CC,1,ROCK1,Cowboy Junkies,Caution Horses,,
0,0,MC,1,ROCK1,Cowboy Junkies,Songs of the Recollection,,
